epoch,loss,mae,mse
0,19678.806640625,117.13420867919922,19678.806640625
1,19661.15625,117.05875396728516,19661.158203125
2,19642.908203125,116.98283386230469,19642.908203125
3,19625.0546875,116.90737915039062,19625.0546875
4,19607.35546875,116.83216094970703,19607.35546875
5,19589.52734375,116.75639343261719,19589.52734375
6,19571.69140625,116.68080139160156,19571.69140625
7,19553.888671875,116.60498809814453,19553.888671875
8,19536.01953125,116.52979278564453,19536.0234375
9,19518.517578125,116.4542465209961,19518.517578125
10,19500.865234375,116.37828826904297,19500.86328125
11,19482.88671875,116.30299377441406,19482.88671875
12,19465.048828125,116.22744750976562,19465.048828125
13,19447.44921875,116.15253448486328,19447.44921875
14,19429.486328125,116.07726287841797,19429.48828125
15,19411.962890625,116.00216674804688,19411.962890625
16,19394.572265625,115.92732238769531,19394.572265625
17,19377.0390625,115.85145568847656,19377.0390625
18,19359.46875,115.77548217773438,19359.470703125
19,19341.73828125,115.69987487792969,19341.73828125
20,19323.984375,115.62458801269531,19323.984375
21,19306.650390625,115.54944610595703,19306.650390625
22,19288.806640625,115.47439575195312,19288.806640625
23,19271.513671875,115.39884185791016,19271.513671875
24,19254.0859375,115.32325744628906,19254.0859375
25,19236.392578125,115.24815368652344,19236.392578125
26,19218.814453125,115.17308807373047,19218.814453125
27,19201.357421875,115.0983657836914,19201.357421875
28,19183.689453125,115.02310180664062,19183.689453125
29,19166.779296875,114.9482421875,19166.779296875
30,19149.06640625,114.87313079833984,19149.064453125
31,19131.634765625,114.79812622070312,19131.634765625
32,19114.572265625,114.72286224365234,19114.572265625
33,19096.82421875,114.64806365966797,19096.82421875
34,19079.484375,114.5733642578125,19079.484375
35,19062.4765625,114.4979019165039,19062.4765625
36,19044.78515625,114.4228286743164,19044.783203125
37,19027.70703125,114.34837341308594,19027.708984375
38,19010.1328125,114.273193359375,19010.1328125
39,18993.142578125,114.19805145263672,18993.140625
40,18975.958984375,114.12310791015625,18975.9609375
41,18958.71875,114.04796600341797,18958.71875
42,18941.13671875,113.97314453125,18941.13671875
43,18924.173828125,113.89830780029297,18924.173828125
44,18906.845703125,113.82340240478516,18906.845703125
45,18889.533203125,113.74856567382812,18889.533203125
46,18872.349609375,113.67383575439453,18872.349609375
47,18855.30859375,113.59918212890625,18855.306640625
48,18838.072265625,113.52505493164062,18838.072265625
49,18821.068359375,113.45005798339844,18821.068359375
50,18804.08984375,113.37541961669922,18804.08984375
51,18786.703125,113.30060577392578,18786.703125
52,18769.8828125,113.22607421875,18769.8828125
53,18752.677734375,113.15105438232422,18752.677734375
54,18735.6796875,113.07683563232422,18735.6796875
55,18718.734375,113.0025863647461,18718.734375
56,18701.5546875,112.92830657958984,18701.5546875
57,18684.7109375,112.85386657714844,18684.712890625
58,18667.58203125,112.77914428710938,18667.58203125
59,18650.58203125,112.70578002929688,18650.58203125
60,18633.548828125,112.63121032714844,18633.548828125
61,18616.853515625,112.55724334716797,18616.853515625
62,18599.896484375,112.48271942138672,18599.8984375
63,18582.625,112.40882110595703,18582.625
64,18565.97265625,112.33475494384766,18565.97265625
65,18549.103515625,112.26067352294922,18549.103515625
66,18532.427734375,112.18663787841797,18532.427734375
67,18515.490234375,112.11215209960938,18515.490234375
68,18498.6015625,112.03790283203125,18498.6015625
69,18481.859375,111.9637222290039,18481.861328125
70,18464.9375,111.88981628417969,18464.9375
71,18448.21484375,111.81580352783203,18448.21484375
72,18431.17578125,111.74175262451172,18431.17578125
73,18414.6484375,111.6682357788086,18414.6484375
74,18397.82421875,111.59449768066406,18397.82421875
75,18381.24609375,111.52054595947266,18381.24609375
76,18364.38671875,111.44633483886719,18364.38671875
77,18347.623046875,111.37242889404297,18347.623046875
78,18331.1796875,111.2990493774414,18331.1796875
79,18314.3046875,111.22492218017578,18314.3046875
80,18297.94140625,111.1514663696289,18297.94140625
81,18281.001953125,111.07816314697266,18281.001953125
82,18264.525390625,111.00544738769531,18264.52734375
83,18248.009765625,110.93173217773438,18248.009765625
84,18231.115234375,110.8591079711914,18231.115234375
85,18214.5703125,110.7860336303711,18214.5703125
86,18198.044921875,110.71385192871094,18198.044921875
87,18181.71484375,110.64028930664062,18181.71484375
88,18165.158203125,110.56745910644531,18165.158203125
89,18148.263671875,110.49442291259766,18148.263671875
90,18132.21484375,110.42146301269531,18132.21484375
91,18115.419921875,110.34908294677734,18115.419921875
92,18099.072265625,110.27574920654297,18099.072265625
93,18082.6875,110.20328521728516,18082.6875
94,18066.166015625,110.1302261352539,18066.166015625
95,18049.8359375,110.05793762207031,18049.8359375
96,18033.2578125,109.9854736328125,18033.2578125
97,18016.923828125,109.91291809082031,18016.923828125
98,18000.384765625,109.8404541015625,18000.384765625
99,17983.93359375,109.7681655883789,17983.93359375
